,counter,mse,full operation,full operation values
0,1,22618759.33739376,  (   ((0.08223035313798144 * v ** 0.19785469728264915) + 0 )   )  ,0.0
0,2,9286766.61388971,  (   ((0.5609852144576428 * s ** 1) + 0.24300282612348156 ) +((0.08223035313798144 * v ** 0.19785469728264915) + 0 )   )  ,5.85285497069991
0,3,616.1112924711308,  (   ((1.237049055708913 * u ** 0.15468327416595817) + 0 ) *((1.5609852144576428 * s ** 2) + 1 ) +((0.08223035313798144 * v ** 0.19785469728264915) + 0 )   )  ,1.237049055708913
0,4,345.9180552696856,  (   ((1 * u ** -0.7302120658417813) + 0 ) *((1.5609852144576428 * s ** 2) + 1 ) +((-0.2768440079290807 * v ** 1) + 0 )   )  ,1.0
0,5,320.21732163352664,  (   ((2 * u ** -1.341907267083085) + 0 ) *((1.5609852144576428 * s ** 2) + 1 ) +((0.6020643101265457 * v ** 1) + 1 )   )  ,2.0
0,6,301.00357922326606,  (   ((3 * u ** -1.341907267083085) + 0 ) *((1 * s ** 2) + 1 ) +((1 * v ** 1) + 0 )   )  ,3.0
0,7,274.20936871341786,  (   ((4 * u ** -2.034646440918942) + 1 ) *((1 * s ** 2) + 1 ) +((0 * v ** 1) + 0 )   )  ,5.0
0,8,257.23595296032795,  (   ((5 * u ** -2.034646440918942) + 1 ) *((1 * s ** 2.833288468036966) + 1 ) +((0 * v ** 1) + 0 )   )  ,6.0
0,9,240.76824197291836,  (   ((5.592487222093307 * u ** -2.444620739179271) + 1 ) *((1 * s ** 1) + 1 ) +((1 * v ** 1) + 0 )   )  ,6.592487222093307
0,10,224.16103392442523,  (   ((6.592487222093307 * u ** -2.444620739179271) + 0 ) *((1 * s ** 3) + 0 ) +((1 * v ** 1) + 0 )   )  ,6.592487222093307
0,11,200.70525549894566,  (   ((7.592487222093307 * u ** -3.2694047306662406) + -0.8920743444719008 ) *((1 * s ** 3) + 1 ) +((1 * v ** 0.5) + 0 )   )  ,6.700412877621406
0,12,182.2571113329738,  (   ((8.592487222093308 * u ** -3.2694047306662406) + -0.8920743444719008 ) *((1 * s ** 3) + 1 ) +((2 * v ** 0.5) + 1 )   )  ,7.700412877621407
0,13,164.69817123411107,  (   ((9.592487222093308 * u ** -3.2694047306662406) + -0.8920743444719008 ) *((1 * s ** 3) + 1 ) +((2 * v ** 0.5) + 0.8658124251841839 )   )  ,8.700412877621407
0,14,148.03608507777975,  (   ((10.592487222093308 * u ** -3.4278594250428123) + -0.8920743444719008 ) *((1 * s ** 2) + 1 ) +((2 * v ** 0.5) + 0.8658124251841839 )   )  ,9.700412877621407
0,15,132.26716138405408,  (   ((11.592487222093308 * u ** -3.7820018110695903) + 1 ) *((1 * s ** 1) + 1 ) +((2 * v ** 0.5) + 0.8658124251841839 )   )  ,12.592487222093308
0,16,117.37628191345536,  (   ((12.592487222093308 * u ** -3.7820018110695903) + 1 ) *((1 * s ** 1) + 1 ) +((1 * v ** 0.5) + -0.1176894487771536 )   )  ,13.592487222093308
0,17,103.3744138817753,  (   ((13.592487222093308 * u ** -3.7820018110695903) + 1.9468434602604863 ) *((0.30176957756397527 * s ** 1.7397859510177391) + 0 ) +((1 * v ** 0.5) + -0.1176894487771536 )   )  ,15.539330682353794
0,18,91.03337734708681,  (   ((14.592487222093308 * u ** -3.7820018110695903) + 1.9468434602604863 ) *((0 * s ** 1.7397859510177391) + 0 ) +((0.9084102727381086 * v ** 0.5) + -0.1176894487771536 )   )  ,16.539330682353793
0,19,79.61800084071456,  (   ((15.592487222093308 * u ** -3.7820018110695903) + 1 ) *((0 * s ** 1.7397859510177391) + 0 ) +((0.032544305355882375 * v ** 1) + -0.1176894487771536 )   )  ,16.592487222093308
0,20,68.09568016790983,  (   ((16.465832571344315 * u ** -4.160875047584553) + 0 ) *((0 * s ** 3) + 0.7556108408833816 )   )  ,16.465832571344315
